iter	MultiClass
0	1.066102801
1	1.037484321
2	1.012015823
3	0.9884062495
4	0.9675231993
5	0.9480668962
6	0.9303103353
7	0.914069024
8	0.8992344525
9	0.8848380212
10	0.872017064
11	0.860486721
12	0.8492840919
13	0.838948934
14	0.8294988027
15	0.8202443757
16	0.811579379
17	0.8039870783
18	0.7964399708
19	0.7893634591
20	0.7826305533
21	0.7766176184
22	0.7708374212
23	0.7650740652
24	0.7601027491
25	0.7552368566
26	0.7506120123
27	0.7460693464
28	0.7417445553
29	0.7377434196
30	0.7337559448
31	0.7300940021
32	0.7261435311
33	0.7226721746
34	0.719470493
35	0.7157920049
36	0.7128583272
37	0.7098106036
38	0.7063853664
39	0.7029495049
40	0.6999835888
41	0.6973346218
42	0.6948447382
43	0.6922064121
44	0.6898680845
45	0.6875460529
46	0.6853530311
47	0.6830674254
48	0.6811357651
49	0.679349384
50	0.6775466294
51	0.6756534176
52	0.6735259256
53	0.671427196
54	0.6692325705
55	0.6677838813
56	0.6653959985
57	0.6633434868
58	0.6616817708
59	0.6602374564
60	0.6585434237
61	0.6571770447
62	0.6555353881
63	0.6540600059
64	0.6526444866
65	0.6511575766
66	0.6498860301
67	0.648324069
68	0.6468302793
69	0.6456215956
70	0.6445370666
71	0.6433365427
72	0.6421983059
73	0.6411261382
74	0.6399054812
75	0.6386330452
76	0.6374058405
77	0.6364055004
78	0.6354345305
79	0.6340371451
80	0.6331305046
81	0.6321585549
82	0.631092416
83	0.6301436962
84	0.6289122225
85	0.6279645502
86	0.6272153529
87	0.6262642724
88	0.6253653209
89	0.6243503444
90	0.6233165416
91	0.6223108241
92	0.6214544702
93	0.6204917196
94	0.619628219
95	0.6188441914
96	0.6180261725
97	0.6172675807
98	0.6163423857
99	0.6156817918
100	0.6149068544
101	0.6139108384
102	0.6131995197
103	0.6124137605
104	0.6116146817
105	0.6108069791
106	0.610061869
107	0.6092397224
108	0.6086832644
109	0.6080079932
110	0.6074058555
111	0.606625382
112	0.6058213692
113	0.6052762683
114	0.6046444631
115	0.6040737623
116	0.6035059629
117	0.602934048
118	0.6024283298
119	0.6017634022
120	0.6009961146
121	0.6004477254
122	0.5998217395
123	0.5991941206
124	0.5984453261
125	0.5978991231
126	0.5972899515
127	0.5967607616
128	0.5961321764
129	0.5955663555
130	0.5950079038
131	0.5944070747
132	0.5937007723
133	0.593129548
134	0.5925738463
135	0.5920546334
136	0.5914338341
137	0.5908892534
138	0.5903632519
139	0.5899784368
140	0.5893150626
141	0.5885904957
142	0.5881208558
143	0.5877213758
144	0.5872766178
145	0.5868868202
146	0.5864527322
147	0.5859570153
148	0.5853925927
149	0.5849766025
150	0.5844980973
151	0.5841658481
152	0.5837571681
153	0.5834028063
154	0.5827383503
155	0.582412024
156	0.5818771059
157	0.5814721308
158	0.5810134583
159	0.5803795677
160	0.5801012377
161	0.5796333317
162	0.5793011062
163	0.5788319111
164	0.5785319143
165	0.5780128396
166	0.5776112559
167	0.577097644
168	0.5764795284
169	0.5761660202
170	0.5757829003
171	0.5751849698
172	0.5747281206
173	0.5743600977
174	0.5740245194
175	0.5734062545
176	0.5729820356
177	0.5725473684
178	0.5720092587
179	0.5715426657
180	0.5711731607
181	0.5707003967
182	0.5703869826
183	0.5700589038
184	0.5696558863
185	0.5691852025
186	0.5686859615
187	0.5682158608
188	0.5677347772
189	0.5675048663
190	0.5672072185
191	0.5667078266
192	0.5663741999
193	0.5661427153
194	0.5658655229
195	0.5654813932
196	0.5651830748
197	0.5648825477
198	0.5647075587
199	0.5643133229
200	0.5639564204
201	0.5636104332
202	0.5633586786
203	0.5629569881
204	0.5624456301
205	0.562149141
206	0.5616664766
207	0.5612000374
208	0.5609101966
209	0.5604348856
210	0.5601509495
211	0.5596577684
212	0.5593965826
213	0.5590888472
214	0.5587411924
215	0.5584056042
216	0.5580263961
217	0.5575547855
218	0.5573658375
219	0.5571073919
220	0.556899158
221	0.5566375364
222	0.5562479438
223	0.5559934793
224	0.5553816115
225	0.5550739424
226	0.5548237975
227	0.554573299
228	0.5540420224
229	0.5538001443
230	0.5534571112
231	0.5531749811
232	0.5528459781
233	0.5524520591
234	0.551980323
235	0.5515612055
236	0.5512168269
237	0.5509722365
238	0.5506475023
239	0.5504202284
240	0.550119723
241	0.5497990209
242	0.5495686089
243	0.5493034465
244	0.5490727037
245	0.5488698701
246	0.5484712503
247	0.5480975992
248	0.5476972274
249	0.5473865127
250	0.5469432093
251	0.5467022578
252	0.546426553
253	0.5460938466
254	0.5457020958
255	0.5454198937
256	0.5451151586
257	0.5448159778
258	0.5445810493
259	0.5443468323
260	0.5440297936
261	0.5437818619
262	0.5432686307
263	0.5430864995
264	0.5427181456
265	0.5424320549
266	0.5421333552
267	0.5417023201
268	0.5413827444
269	0.5410998751
270	0.5407570637
271	0.5404048508
272	0.5402022355
273	0.5398316446
274	0.5395640039
275	0.5391545353
276	0.5388333411
277	0.5386087222
278	0.5383544137
279	0.5379976712
280	0.5377113794
281	0.5373699385
282	0.5369579098
283	0.5366741429
284	0.5363847752
285	0.5361800447
286	0.5359908066
287	0.5356610217
288	0.535338268
289	0.5350138548
290	0.5346353264
291	0.5343683706
292	0.5340910553
293	0.533843526
294	0.5335471912
295	0.533376357
296	0.5331647096
297	0.532923886
298	0.5327585996
299	0.5324996261
300	0.5322683962
301	0.5320997547
302	0.5319087209
303	0.5315965408
304	0.5313284161
305	0.5310478801
306	0.530739936
307	0.5305440161
308	0.5302133635
309	0.5300701202
310	0.5297964509
311	0.5295262752
312	0.5292472729
313	0.5289396915
314	0.5287545129
315	0.5285213734
316	0.5282219278
317	0.5280090211
318	0.5277328407
319	0.5275129744
320	0.5273010567
321	0.5270096739
322	0.5268112503
323	0.5266272984
324	0.5262092663
325	0.5259121935
326	0.525693745
327	0.5254087282
328	0.5251487843
329	0.5247936164
330	0.5245550489
331	0.5244109933
332	0.5242018155
333	0.5238509465
334	0.5236809812
335	0.5234487072
336	0.5231875852
337	0.5230489011
338	0.5227374979
339	0.5225943807
340	0.5224187945
341	0.5221706391
342	0.5219300582
343	0.5217398151
344	0.5214045898
345	0.5211701097
346	0.5209683357
347	0.5207057109
348	0.5203890411
349	0.5201513489
350	0.5199712666
351	0.5196646806
352	0.5194540614
353	0.5192061362
354	0.5190221087
355	0.5188387174
356	0.518489121
357	0.5181726073
358	0.5179913596
359	0.5177878338
360	0.5175237477
361	0.5173448591
362	0.5171697781
363	0.51697289
364	0.5167409403
365	0.5165425968
366	0.5162338456
367	0.5159315566
368	0.5156804888
369	0.5154700665
370	0.5153235253
371	0.5151263618
372	0.5148600454
373	0.5145088848
374	0.5142864475
375	0.5140891591
376	0.5139255024
377	0.5137262374
378	0.513467547
379	0.513225789
380	0.5130392861
381	0.512788935
382	0.5125590272
383	0.5123826519
384	0.5121835066
385	0.51204361
386	0.5119079645
387	0.511652109
388	0.5114133806
389	0.5111924728
390	0.511076973
391	0.5107002291
392	0.5103533889
393	0.5101802214
394	0.5098873946
395	0.5096447502
396	0.5094074982
397	0.509231603
398	0.5089852954
399	0.50884531
