iter	Passed	Remaining
0	128	51116
1	225	44971
2	289	38294
3	340	33685
4	390	30821
5	442	29089
6	498	27984
7	561	27520
8	616	26775
9	666	25999
10	718	25424
11	769	24889
12	821	24448
13	876	24155
14	936	24031
15	1007	24180
16	1208	27223
17	1287	27327
18	1340	26882
19	1390	26426
20	1443	26050
21	1503	25833
22	1557	25534
23	1615	25302
24	1686	25293
25	1781	25620
26	1854	25621
27	1932	25670
28	2036	26050
29	2122	26177
30	2197	26161
31	2267	26076
32	2336	25986
33	2404	25880
34	2481	25873
35	2564	25930
36	2642	25929
37	2703	25752
38	2762	25570
39	2827	25448
40	2908	25466
41	2991	25495
42	3074	25523
43	3148	25477
44	3217	25380
45	3304	25427
46	3385	25425
47	3452	25314
48	3516	25191
49	3569	24984
50	3625	24813
51	3678	24617
52	3733	24443
53	3801	24354
54	3875	24312
55	3945	24235
56	4015	24164
57	4077	24041
58	4134	23894
59	4187	23727
60	4239	23559
61	4287	23372
62	4335	23190
63	4393	23066
64	4455	22963
65	4513	22841
66	4566	22694
67	4618	22551
68	4676	22432
69	4729	22294
70	4786	22178
71	4837	22037
72	4895	21930
73	4953	21821
74	5010	21712
75	5073	21627
76	5125	21501
77	5175	21365
78	5224	21229
79	5277	21109
80	5327	20983
81	5385	20886
82	5447	20804
83	5497	20681
84	5551	20572
85	5595	20431
86	5648	20319
87	5699	20206
88	5751	20098
89	5806	20000
90	5866	19921
91	5930	19855
92	5990	19773
93	6043	19673
94	6095	19571
95	6148	19471
96	6197	19359
97	6247	19251
98	6294	19138
99	6355	19066
100	6411	18979
101	6466	18891
102	6517	18791
103	6569	18696
104	6625	18615
105	6688	18551
106	6740	18458
107	6796	18375
108	6849	18285
109	6899	18189
110	6947	18087
111	6997	17992
112	7056	17922
113	7110	17837
114	7168	17764
115	7228	17698
116	7291	17636
117	7358	17586
118	7422	17527
119	7489	17474
120	7556	17423
121	7618	17360
122	7685	17307
123	7753	17258
124	7834	17236
125	7909	17199
126	7970	17132
127	8019	17041
128	8085	16985
129	8136	16899
130	8203	16845
131	8274	16799
132	8343	16749
133	8411	16696
134	8479	16645
135	8545	16588
136	8628	16563
137	8716	16548
138	8795	16514
139	8873	16479
140	8944	16429
141	9009	16369
142	9076	16312
143	9147	16261
144	9224	16222
145	9284	16152
146	9348	16089
147	9422	16043
148	9495	15995
149	9568	15947
150	9638	15893
151	9704	15833
152	9772	15777
153	9840	15718
154	9903	15653
155	9972	15598
156	10032	15528
157	10101	15472
158	10202	15464
159	10288	15432
160	10365	15387
161	10459	15365
162	10555	15347
163	10652	15329
164	10749	15309
165	10818	15250
166	10884	15185
167	10949	15120
168	11023	15068
169	11089	15004
170	11148	14930
171	11204	14852
172	11263	14779
173	11322	14706
174	11384	14637
175	11451	14574
176	11522	14516
177	11609	14479
178	11686	14428
179	11758	14371
180	11820	14302
181	11898	14252
182	11967	14191
183	12056	14152
184	12123	14089
185	12192	14027
186	12261	13965
187	12331	13906
188	12392	13834
189	12467	13779
190	12528	13709
191	12590	13639
192	12665	13583
193	12733	13520
194	12802	13458
195	12876	13401
196	12956	13350
197	13027	13290
198	13097	13228
199	13167	13167
200	13239	13107
201	13317	13054
202	13379	12983
203	13452	12924
204	13532	12872
205	13610	12817
206	13666	12741
207	13732	12676
208	13801	12612
209	13880	12558
210	13960	12505
211	14035	12446
212	14105	12383
213	14178	12323
214	14253	12264
215	14331	12208
216	14397	12141
217	14467	12078
218	14537	12014
219	14592	11939
220	14656	11871
221	14725	11807
222	14788	11737
223	14860	11675
224	14935	11616
225	15002	11550
226	15063	11479
227	15125	11410
228	15192	11344
229	15256	11276
230	15315	11204
231	15383	11140
232	15457	11079
233	15535	11021
234	15626	10972
235	15731	10931
236	15828	10886
237	15918	10835
238	15988	10770
239	16049	10699
240	16107	10626
241	16166	10555
242	16230	10486
243	16293	10417
244	16362	10351
245	16429	10285
246	16496	10218
247	16576	10159
248	16636	10088
249	16701	10020
250	16757	9947
251	16833	9886
252	16908	9824
253	16971	9755
254	17026	9681
255	17094	9615
256	17154	9544
257	17212	9473
258	17265	9399
259	17335	9334
260	17404	9268
261	17471	9202
262	17545	9139
263	17606	9070
264	17661	8997
265	17721	8927
266	17776	8854
267	17840	8786
268	17910	8722
269	17989	8661
270	18049	8591
271	18113	8523
272	18177	8456
273	18246	8390
274	18315	8325
275	18387	8261
276	18445	8190
277	18509	8122
278	18570	8053
279	18618	7979
280	18688	7914
281	18762	7850
282	18832	7786
283	18899	7719
284	18976	7657
285	19031	7585
286	19093	7517
287	19173	7456
288	19243	7391
289	19312	7325
290	19380	7259
291	19441	7190
292	19501	7121
293	19575	7057
294	19636	6989
295	19695	6920
296	19767	6855
297	19826	6786
298	19897	6721
299	19956	6652
300	20013	6582
301	20074	6514
302	20148	6450
303	20208	6381
304	20272	6314
305	20319	6241
306	20384	6175
307	20450	6108
308	20514	6041
309	20585	5976
310	20649	5909
311	20711	5841
312	20782	5776
313	20845	5709
314	20919	5644
315	20985	5578
316	21040	5509
317	21086	5437
318	21151	5370
319	21211	5302
320	21263	5233
321	21322	5165
322	21383	5097
323	21464	5034
324	21534	4969
325	21610	4905
326	21677	4839
327	21772	4779
328	21831	4711
329	21898	4645
330	21965	4578
331	22027	4511
332	22089	4444
333	22154	4377
334	22218	4311
335	22272	4242
336	22337	4175
337	22433	4115
338	22519	4052
339	22607	3989
340	22691	3926
341	22776	3862
342	22864	3799
343	22959	3737
344	23052	3675
345	23123	3608
346	23204	3544
347	23266	3476
348	23332	3409
349	23389	3341
350	23445	3273
351	23501	3204
352	23563	3137
353	23629	3070
354	23695	3003
355	23759	2936
356	23824	2869
357	23898	2803
358	23972	2737
359	24057	2673
360	24126	2606
361	24195	2539
362	24259	2472
363	24316	2404
364	24374	2337
365	24438	2270
366	24502	2203
367	24563	2135
368	24624	2068
369	24698	2002
370	24775	1936
371	24840	1869
372	24896	1802
373	24958	1735
374	25013	1667
375	25081	1600
376	25154	1534
377	25225	1468
378	25290	1401
379	25348	1334
380	25419	1267
381	25487	1200
382	25554	1134
383	25617	1067
384	25687	1000
385	25751	934
386	25812	867
387	25879	800
388	26141	739
389	26231	672
390	26291	605
391	26353	537
392	26418	470
393	26477	403
394	26540	335
395	26598	268
396	26669	201
397	26730	134
398	26784	67
399	26851	0
